Input Size,Time
1000,0.0035221279995312216
2000,0.00921507000020938
3000,0.018600015999254538
4000,0.034901580000223476
5000,0.0485538369994174
6000,0.0683573839996825
7000,0.09248211900012393
8000,0.12023015900012979
9000,0.15076735700131394
10000,0.18537742899934528
11000,0.22563591899961466
12000,0.2710148879996268
13000,0.3271785830002045
14000,0.36072403799880703
15000,0.403969175000384
16000,0.4946333420011797
17000,0.515382743000373
18000,0.5903690360009932
19000,0.6577396619995852
20000,0.7192469020010321
21000,0.8190772420002759
22000,0.8813430759983021
23000,0.9634058790015843
24000,1.0263420949995634
25000,1.1155622380010755
26000,1.2182885170004738
27000,1.3068653360005555
28000,1.421767539000939
29000,1.501213039000504
30000,1.5906459270008781
31000,1.7251591399999597
32000,1.8328844200004824
33000,1.9328762130007817
34000,2.0990776929993444
35000,2.2115070020008716
36000,2.3201522970011865
37000,2.455438396000318
38000,2.59149288899971
39000,2.694755710001118
40000,2.8381513379990793
41000,3.0182092449995253
42000,3.1444541170003504
43000,3.2774165840000933
44000,3.417721576999611
45000,3.5769731820000743
46000,3.8334023670013266
47000,4.369663704999766
48000,4.794513441000163
49000,4.701299266998831
50000,4.828439642999001
